Super Smash Bros.,Fighting
Super Smash Bros.,Action
Tetrisphere,Puzzle
Tony Hawk's Pro Skater,Sports
Turok 2: Seeds of Evil,Shooter
Turok 2: Seeds of Evil,Action
Turok: Rage Wars,Shooter
Vigilante 8: 2nd Offense,Shooter
Vigilante 8: 2nd Offense,Vehicle Simulation
Vigilante 8: 2nd Offense,Action
Waialae Country Club: True Golf Classics,Sports
Wave Race 64,Racing
WCW Backstage Assault,Sports
WinBack: Covert Operations,Shooter
World Driver Championship,Racing
WWF Attitude,Sports
WWF Attitude,Fighting
WWF No Mercy,Sports
WWF WrestleMania 2000,Sports
Xena: Warrior Princess - The Talisman of Fate,Fighting
Yoshi's Story,Adventure
Yoshi's Story,Action
Dino Crisis,Shooter
Dino Crisis,Horror
Dynamite Cop,Action
Jet Grind Radio,Action
Kiss: Psycho Circus: The Nightmare Child,Shooter
Kiss: Psycho Circus: The Nightmare Child,Horror
NBA 2K1,Sports
Phantasy Star Online,Role-Playing
Phantasy Star Online,MMO
Phantasy Star Online,Adventure
Phantasy Star Online,Action
Quake III Arena,Shooter
Resident Evil Code: Veronica,Puzzle
Resident Evil Code: Veronica,Adventure
Resident Evil Code: Veronica,Action
Samba de Amigo,Music
Shenmue,Role-Playing
Shenmue,Adventure
Skies of Arcadia,Role-Playing
Skies of Arcadia,Adventure
Skies of Arcadia,Action
Sonic Adventure 2,Platform
Space Channel 5,Music
Space Channel 5,Action
Street Fighter Alpha 3,Fighting
Super Magnetic Neo,Action
Virtua Fighter 3tb,Fighting
Mario & Luigi: Bowser's Inside Story,Role-Playing
Mighty Morphin Power Rangers,Action
Ecco: The Tides of Time,Adventure
Ecco: The Tides of Time,Action
Hook,Adventure
Hook,Action
Dungeon Explorer,Role-Playing
Dungeon Explorer,Action
Flashback: The Quest for Identity,Adventure
Racing Aces,Racing
Robo Aleste,Shooter
After Burner II,Shooter
Aerobiz Supersonic,Life Simulation
Air Diver,Shooter
Air Diver,Action
Disney's Ariel: The Little Mermaid,Adventure
Ballz 3D: Fighting at Its Ballziest,Fighting
Bass Masters Classic: Pro Edition,Sports
Batman Forever,Fighting
Batman Forever,Action
BattleTech: A Game of Armored Combat,Action
Bill Walsh College Football 95,Sports
B.O.B.,Action
Bram Stoker's Dracula,Action
Bubsy in: Claws Encounters of the Furred Kind,Adventure
Bugs Bunny in Double Trouble,Platform
Bulls Versus Blazers and the NBA Playoffs,Sports
Centurion: Defender of Rome,Strategy
Chester Cheetah: Wild Wild Quest,Adventure
Chester Cheetah: Wild Wild Quest,Action
Chiki Chiki Boys,Platform
Chiki Chiki Boys,Action
Columns (Sega Classic),Puzzle
Crue Ball: Heavy Metal Pinball,Sports
Crystal's Pony Tale,Platform
Cyber-Cop,Shooter
Dark Castle,Action
Desert Strike: Return to the Gulf,Shooter
Double Dragon III: The Arcade Game,Adventure
Double Dragon III: The Arcade Game,Action
ESPN National Hockey Night,Sports
Eternal Champions,Fighting
Family Feud,Strategy
Fantastic Dizzy,Action
Fatal Labyrinth,Role-Playing
Fatal Rewind,Platform
Ferrari Grand Prix Challenge,Sports
Ferrari Grand Prix Challenge,Racing
Final Zone,Action
Funny World & Balloon Boy,Shooter
Funny World & Balloon Boy,Action
Hard Drivin',Racing
Haunting Starring Polterguy,Action
Hellfire,Shooter
Hellfire,Action
Herzog Zwei,Strategy
Home Alone,Strategy
The Humans,Strategy
The Humans,Puzzle
The Immortal,Adventure
The Immortal,Action
Insector X,Action
100 Percent Star,Life Simulation
Actua Golf 3,Sports
Akuji the Heartless,Action
Alone in the Dark: The New Nightmare,Shooter
Alone in the Dark: The New Nightmare,Horror
Alundra,Role-Playing
Alundra,Adventure
Alundra,Action
Aqua GT,Racing
Army Men: Air Attack,Action
Asterix: The Gallic War,Strategy
Asterix: The Gallic War,Action
A-Train,Strategy
King's Field (Japan),Role-Playing
King's Field (Japan),Adventure
Beyond the Beyond,Role-Playing
Big Air,Sports
Black Dawn,Action
Breath of Fire III,Role-Playing
Breath of Fire IV,Role-Playing
Brigandine: The Legend of Forsena,Strategy
Brigandine: The Legend of Forsena,Role-Playing
Bust-A-Move 4,Puzzle
Casper,Adventure
Casper,Action
Castlevania: Symphony of the Night,Adventure
Castlevania: Symphony of the Night,Action
Championship Bass,Sports
Chocobo's Dungeon 2,Role-Playing
Chocobo's Dungeon 2,Action
Cool Boarders 2,Sports
Crash Bandicoot 3: Warped,Platform
Crash Bandicoot 3: Warped,Adventure
Crusader: No Remorse,Shooter
Crusader: No Remorse,Adventure
Crusader: No Remorse,Action
Danger Girl,Shooter
Destrega,Fighting
Die Hard Trilogy,Action
Digimon World,Adventure
Driver 2,Racing
Driver 2,Action
Evil Zone,Fighting
Final Fantasy VII,Role-Playing
Final Fantasy VIII,Role-Playing
Final Fantasy IX,Role-Playing
Final Fantasy Anthology,Role-Playing
Formula One 99,Racing
Front Mission 3,Strategy
Front Mission 3,Role-Playing
G-Police,Shooter
G-Police,Flight Simulator
Joe Montana II: Sportstalk Football,Sports
Jordan vs. Bird,Sports
Jungle Strike,Shooter
Jurassic Park,Adventure
King Salmon: The Big Catch,Sports
King Salmon: The Big Catch,Action
Klax,Puzzle
Landstalker,Role-Playing
Landstalker,Action
Last Action Hero,Action
Lethal Enforcers II: Gunfighters,Shooter
Lightening Force: Quest for the Darkstar,Shooter
The Lost Vikings,Puzzle
Lotus II,Racing
Lotus Turbo Challenge,Racing
Vectorman 2,Shooter
Vectorman 2,Platform
Vectorman 2,Action
Star Control,Strategy
Star Control,Action
Super Battleship,Strategy
The 3rd Birthday,Adventure
The 3rd Birthday,Action
Metal Gear Rising: Revengeance,Action
Hoshigami: Ruining Blue Earth,Strategy
Hoshigami: Ruining Blue Earth,Role-Playing
Iron & Blood: Warriors of Ravenloft,Fighting
Kartia: The Word of Fate,Strategy
Kartia: The Word of Fate,Role-Playing
King's Field II,Role-Playing
King's Field II,Adventure
Klonoa Beach Volleyball,Sports
Klonoa: Door to Phantomile,Platform
Legacy of Kain: Soul Reaver,Action
Legend of Mana,Role-Playing
Legend of Mana,Action
Lethal Enforcers I & II,Shooter
Marvel Super Heroes,Fighting
MDK,Shooter
MDK,Action
Mega Man 8,Action
Mega Man Legends,Role-Playing
Mega Man Legends,Adventure
Mega Man Legends,Action
Mega Man X4,Action
Mega Man Battle & Chase,Action
MLB 2000,Sports
Monkey Magic,Action
NASCAR 99,Racing
NASCAR Racing,Racing
NBA Basketball 2000,Sports
NBA In The Zone 2,Sports
NBA Live 98,Sports
NBA Live 99,Sports
NBA Live 2000,Sports
NBA Showtime: NBA on NBC,Sports
The Next Tetris,Puzzle
NFL Blitz 2000,Sports
NFL Blitz 2001,Sports
NFL GameDay 99,Sports
NFL Game Day 97,Sports
NFL GameDay 98,Sports
No One Can Stop Mr. Domino,Puzzle
Omega Boost,Shooter
Omega Boost,Action
Pandemonium!,Platform
Parasite Eve,Role-Playing
Parasite Eve,Horror
Revelations: Persona,Role-Playing
Persona 2: Eternal Punishment,Role-Playing
PGA Tour 97,Sports
Point Blank 2,Shooter
Pong: The Next Level,Action
PO'ed,Action
Powerslave,Shooter
Professional Underground League of Pain,Sports
Professional Underground League of Pain,Action
R4: Ridge Racer Type 4,Racing
Tom Clancy's Rainbow Six: Rogue Spear,Shooter
Rampage 2: Universal Tour,Action
RayCrisis: Series Termination,Shooter
RayCrisis: Series Termination,Action
Re-Loaded: The Hardcore Sequel,Action
Rhapsody: A Musical Adventure,Strategy
Rhapsody: A Musical Adventure,Role-Playing
SaGa Frontier 2,Role-Playing
Sled Storm,Racing
SnoCross Championship Racing,Racing
Spider: The Video Game,Platform
Spider-Man,Action
Street Sk8er 2,Sports
Starwinder,Shooter
Starwinder,Racing
Street Fighter Collection,Fighting
Suikoden II,Role-Playing
Super Puzzle Fighter II Turbo,Puzzle
Tactics Ogre: Ogre Battle Series,Strategy
Tactics Ogre: Ogre Battle Series,Role-Playing
Time Crisis,Shooter
Tomb Raider II,Adventure
Tomb Raider II,Action
Uprising-X,Strategy
Uprising-X,Action
Vandal Hearts,Strategy
Vandal Hearts,Role-Playing
Warhammer: Shadow of the Horned Rat,Strategy
Warriors of Might and Magic,Action
Wayne Gretzky's 3D Hockey '98,Sports
Wipeout XL,Racing
WWF War Zone,Sports
WWF War Zone,Fighting
Xenogears,Role-Playing
X-Men vs. Street Fighter,Fighting
John Madden Football '92,Sports
John Madden Football '93,Sports
Madden NFL '94,Sports
Madden NFL '95,Sports
Marsupilami,Platform
Marsupilami,Action
Mazin Saga: Mutant Fighter,Action
McDonald's Treasure Land Adventure,Platform
Mickey Mania: The Timeless Adventures of Mickey Mouse,Adventure
Halo: Reach,Shooter
Dante's Inferno,Adventure
Dante's Inferno,Action
F.E.A.R. 2: Project Origin,Shooter
Bayonetta,Action
Mortal Kombat II,Fighting
Team Fortress 2,Shooter
F.E.A.R. Extraction Point,Shooter
Call of Duty: World at War,Shooter
Half-Life,Shooter
Call of Duty 4: Modern Warfare,Shooter
BioShock 2,Shooter
BioShock 2,Adventure
BioShock 2,Action
Final Fantasy XIV,Role-Playing
Mortal Kombat 3,Fighting
Mortal Kombat,Fighting
Muhammad Ali Heavyweight Boxing,Sports
NBA All-Star Challenge,Sports
NBA Jam Tournament Edition,Sports
NBA Jam,Sports
New Horizons,Role-Playing
NFL Football '94 Starring Joe Montana,Sports
NFL Sports Talk Football '93,Sports
NHL '94,Sports
NHL Hockey 95,Sports
NHL Hockey 96,Sports
NHLPA Hockey '93,Sports
X-Men,Action
Primal Rage,Fighting
Pitfall: The Mayan Adventure,Adventure
Revolution X,Shooter
The Lion King,Adventure
Olympic Gold: Barcelona '92,Sports
Operation Europe: Path to Victory 1939-45,Strategy
OutRunners,Racing
Pac-Attack,Puzzle
Pac-Man 2: The New Adventures,Puzzle
Pac-Man 2: The New Adventures,Adventure
Pebble Beach Golf Links,Sports
